Title,Year,Amount (USD),Development Type,Subject area, ,Notes,  2,  3,  4,  5,  6,  7,  8,  9,  10,  11,  12,  13,  14,  15,  16,  17,  18,  19,  20
"$7,500 (total) for 5 students for VMCAI 2020 Winter School",2019,"$7,500",Ecosystem Development,Education,,,,,,,,,,,,,,,,,,,,,
"MGP 26: $40,000 for Lighthouse Security Review",2019,"$40,000",Ecosystem Development,Security,,,,,,,,,,,,,,,,,,,,,
MGP27: 3 Shares for Moloch Swag / Graphic Design,2019,"$3,000",Moloch DAO - internal,Comms,,https://docs.google.com/document/d/1PGSDKRZCW7qkdDnR1xb16HTIP3pslLN7L8yira6dcSg/edit,,,,,,,,,,,,,,,,,,,
Ethereum Cat Herders Note Taking Proposal,2019,"$3,000",Ecosystem Development,Coordination,,https://docs.google.com/document/d/1xz2CILuPPvcAZLtdCyC6HXQmhQpx98WkuhNw6Vyz8pA/edit,,,,,,,,,,,,,,,,,,,
"[Fixed] MGP 19 - $2,500 for State of the Mixers Report",2019,"$2,500",Ecosystem Development,Privacy,,,,,,,,,,,,,,,,,,,,,
"MGP 21.2 - $21,000 (132 shares) for upgrades to Tornado.Cash (ERC20 + Relayers Market)",2019,"$21,000",Ecosystem Development,Privacy,,,,,,,,,,,,,,,,,,,,,
"MGP 21.1 - $15,000 (93 shares) for shipping Tornado.Cash, awarded retroactively",2019,"$15,000",Ecosystem Development,Privacy,,,,,,,,,,,,,,,,,,,,,
MGP16 - $2K to Rahul for Moloch App Dev,2019,"$2,000",Moloch DAO - internal,Comms,,,,,,,,,,,,,,,,,,,,,
"MGP17: $2,400 for Eva for Moloch Operations",2019,"$2,400",Moloch DAO - internal,DAO operations,,,,,,,,,,,,,,,,,,,,,
"MGP 18 - $29,760 for ETH 2 Validator Client GUI (NodeFactory)",2019,"$29,760",ETH 2 Development,Tooling,,,,,,,,,,,,,,,,,,,,,
MGP 20: $19K to Connext for CF/Magmo Audit,2019,"$19,000",Ecosystem Development,Tooling,,https://paper.dropbox.com/doc/MGP-20-19K-to-Connext-for-CFMagmo-Audit-wiPs5g3m5pvDgKGv5dibg,,,,,,,,,,,,,,,,,,,
Lodestar (3 parts but $30k total according to Medium post),2019,"$30,000",ETH 2 Development,Tooling,ETH2 client,https://medium.com/graphprotocol/moloch-subgraph-highlight-faf9da2f7e73,,,,,,,,,,,,,,,,,,,
MGP 12.4 - $500 (3 shares) for Ken Yang for YangDAO Leadership,2019,$500,DAO ecosystem,DAO operations,,,,,,,,,,,,,,,,,,,,,
"MGP 12.1 - $2,000 (10 shares) for Odyssey for YangDAO Dev",2019,"$2,000",DAO ecosystem,DAO operations,,,,,,,,,,,,,,,,,,,,,
MGP 12.2 - $500 (3 shares) for Peter Pan for YangDAO PM,2019,$500,DAO ecosystem,DAO operations,,,,,,,,,,,,,,,,,,,,,
MGP 12.3 - $500 (3 shares) for Darren Mills for YangDAO Design,2019,$500,DAO ecosystem,DAO operations,,,,,,,,,,,,,,,,,,,,,
MGP10: $6K to Kyokan for ETH 2 dev,2019,"$6,000",ETH 2 Development,Tooling,,,,,,,,,,,,,,,,,,,,,
"MGP 9.2: $2,000 for Koh Wei Jie for coordinating mixer development and funding",2019,"$2,000",Ecosystem Development,Privacy,,,,,,,,,,,,,,,,,,,,,
"MGP 9.1: US$20,000 for BlockX to build a web UI for the Hopper mixer",2019,"$20,000",Ecosystem Development,Privacy,,,,,,,,,,,,,,,,,,,,,
