aborted,applicant,cancelled,cancelledAt,didPass,executed,memberAddress,newMember,paymentRequested,paymentTokenDecimals,paymentTokenSymbol,processed,processor,processedAt,proposer,sponsored,sponsor,sponsoredAt,votingPeriodStarts,votingPeriodEnds,yesShares,yesVotes,molochAddress,minionAddress,status,title,description,link,proposalType
FALSE,0x59e4415cc1eccecb5edaec533bdd87bf47c2ecf9,FALSE,,TRUE,FALSE,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,TRUE,0,,,TRUE,0x51702659c5defe636b5b084a5ed16fd1066e6420,1594007907,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,TRUE,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,1592877063,1592937649,1593542449,10,1,0xee629a192374caf2a72cf1695c485c5c89611ef2,,Passed,v2 Membership proposal #80,"Membership proposal, assigning shares 1:1 using a funding proposal for MetaCartel v2",https://forum.metacartel.org/t/metacartel-treasury-proposal-2-beginning-moloch-v2-migration/663/10,Member Proposal
FALSE,0x0aba55c93cf7292f71067b0ba0d8b464592895ca,FALSE,,TRUE,FALSE,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,TRUE,0,,,TRUE,0x51702659c5defe636b5b084a5ed16fd1066e6420,1594006542,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,TRUE,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,1592876881,1592923249,1593528049,10,1,0xee629a192374caf2a72cf1695c485c5c89611ef2,,Passed,v2 Membership proposal #75,"Membership proposal, assigning shares 1:1 using a funding proposal for MetaCartel v2",https://forum.metacartel.org/t/metacartel-treasury-proposal-2-beginning-moloch-v2-migration/663/10,Member Proposal
FALSE,0x5bfd96e1a7d2f597cc1a602d89fc9fca61207e09,FALSE,,TRUE,FALSE,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,TRUE,0,,,TRUE,0x51702659c5defe636b5b084a5ed16fd1066e6420,1594006226,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,TRUE,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,1592876881,1592916049,1593520849,10,1,0xee629a192374caf2a72cf1695c485c5c89611ef2,,Passed,v2 Membership proposal #74,"Membership proposal, assigning shares 1:1 using a funding proposal for MetaCartel v2",https://forum.metacartel.org/t/metacartel-treasury-proposal-2-beginning-moloch-v2-migration/663/10,Member Proposal
FALSE,0x0eabffd8ce94ab2387fc44ba32642af0c58af433,FALSE,,TRUE,FALSE,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,TRUE,0,,,TRUE,0x51702659c5defe636b5b084a5ed16fd1066e6420,1594005551,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,TRUE,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,1592876878,1592908849,1593513649,10,1,0xee629a192374caf2a72cf1695c485c5c89611ef2,,Passed,v2 Membership proposal #73,"Membership proposal, assigning shares 1:1 using a funding proposal for MetaCartel v2",https://forum.metacartel.org/t/metacartel-treasury-proposal-2-beginning-moloch-v2-migration/663/10,Member Proposal
FALSE,0x370ceca4fc1287ed99924bba76259f6c771a6022,FALSE,,TRUE,FALSE,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,TRUE,0,,,TRUE,0x51702659c5defe636b5b084a5ed16fd1066e6420,1594005334,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,TRUE,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,1592876878,1592901649,1593506449,10,1,0xee629a192374caf2a72cf1695c485c5c89611ef2,,Passed,v2 Membership proposal #72,"Membership proposal, assigning shares 1:1 using a funding proposal for MetaCartel v2",https://forum.metacartel.org/t/metacartel-treasury-proposal-2-beginning-moloch-v2-migration/663/10,Member Proposal
FALSE,0x3e0cf03f718520f30300266dcf4db50ba12d3331,FALSE,,TRUE,FALSE,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,TRUE,0,,,TRUE,0x51702659c5defe636b5b084a5ed16fd1066e6420,1594004755,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,TRUE,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,1592876844,1592880049,1593484849,10,1,0xee629a192374caf2a72cf1695c485c5c89611ef2,,Passed,v2 Membership proposal #62,"Membership proposal, assigning shares 1:1 using a funding proposal for MetaCartel v2",https://forum.metacartel.org/t/metacartel-treasury-proposal-2-beginning-moloch-v2-migration/663/10,Member Proposal
FALSE,0x66b1de0f14a0ce971f7f248415063d44caf19398,FALSE,,TRUE,FALSE,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,TRUE,0,,,TRUE,0x51702659c5defe636b5b084a5ed16fd1066e6420,1594004869,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,TRUE,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,1592876878,1592887249,1593492049,10,1,0xee629a192374caf2a72cf1695c485c5c89611ef2,,Passed,v2 Membership proposal #70,"Membership proposal, assigning shares 1:1 using a funding proposal for MetaCartel v2",https://forum.metacartel.org/t/metacartel-treasury-proposal-2-beginning-moloch-v2-migration/663/10,Member Proposal
FALSE,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,FALSE,,TRUE,FALSE,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,FALSE,0,,,TRUE,0x51702659c5defe636b5b084a5ed16fd1066e6420,1594005192,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,TRUE,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,1592876878,1592894449,1593499249,10,1,0xee629a192374caf2a72cf1695c485c5c89611ef2,,Passed,v2 Membership proposal #71,"Membership proposal, assigning shares 1:1 using a funding proposal for MetaCartel v2",https://forum.metacartel.org/t/metacartel-treasury-proposal-2-beginning-moloch-v2-migration/663/10,Funding Proposal
FALSE,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,FALSE,,TRUE,FALSE,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,FALSE,0,,,TRUE,0x51702659c5defe636b5b084a5ed16fd1066e6420,1593526491,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,TRUE,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,1592477411,1592484049,1593088849,20,2,0xee629a192374caf2a72cf1695c485c5c89611ef2,,Passed,v2 Migration - First DAI deposit test,https://forum.metacartel.org/t/metacartel-treasury-proposal-2-beginning-moloch-v2-migration/663,https://forum.metacartel.org/t/metacartel-treasury-proposal-2-beginning-moloch-v2-migration/663,Funding Proposal
FALSE,0xd6e371526cdaee04cd8af225d42e37bc14688d9e,FALSE,,FALSE,FALSE,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,TRUE,0,,,TRUE,0x51702659c5defe636b5b084a5ed16fd1066e6420,1592872719,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,TRUE,0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,1591759534,1591821649,1592426449,0,0,0xee629a192374caf2a72cf1695c485c5c89611ef2,,Failed,v2 Membership proposal #77,"
Membership proposal, assigning shares 1:1 using a funding proposal for MetaCartel v2",https://forum.metacartel.org/t/metacartel-treasury-proposal-2-beginning-moloch-v2-migration/663/10,Member Proposal
